"Name","Confidence","Value","Source"
"Phalaborwa","High",6.78,"Plant_1"
"Siilinjarvi","High",4.2,"Plant_5"
"San Juan de la Costa","Low",19,"Plant_9"
"Bayovar","Medium",16.2,"Plant_13"
"Hahotoe-Kpogame","Medium",29,"Plant_17"
"Lac a Paul","High",6.88,"Plant_21"
"Martison","High",21.48,"Plant_25"
"Djebel Onk","Medium",24.6,"Plant_29"
"Al Jalamid","Medium",21,"Plant_33"
"Umm Wu’al","High",17,"Plant_37"
"Eshidiya","Low",26.55,"Plant_41"
"Central Jordan (Al Hassa and Al Abiad)","Low",27.46,"Plant_45"
"Ruseifa","Low",23.21,"Plant_49"
"Abu Tartur","Medium",25.07,"Plant_53"
"Nile Valley","Low",21.25,"Plant_57"
"Red Sea","Low",23.5,"Plant_61"
"Gafsa","Low",25.75,"Plant_65"
"Taiba-Tobene","Low",26,"Plant_69"
"Thies-Lam Lam","Low",29,"Plant_73"
"Matam-Ndendory","Low",28.7,"Plant_77"
"Gadde Bissik","High",18.9,"Plant_81"
"Phosphate Hill-Duchess","High",23.5,"Plant_85"
"Negev","High",26,"Plant_89"
"Jhamarkotra","High",16,"Plant_93"
"Araxa/Patrocinio","Low",13.3,"Plant_97"
"Cajati","Medium",5.2,"Plant_101"
"Catalao","Medium",10.8,"Plant_105"
"Tapira","Medium",9.4,"Plant_109"
"Ouvidor","High",13,"Plant_113"
"Angico dos Dias","Low",18.6,"Plant_117"
"Florida","Low",9.5,"Plant_121"
"Aurora","Low",18.5,"Plant_125"
"White Springs","Low",9.5,"Plant_129"
"Smoky Canyon","Low",24.5,"Plant_133"
"Vernal","Low",24.5,"Plant_137"
"Conda","High",25.55,"Plant_141"
"Kola","Medium",13,"Plant_145"
"Kovdor","Low",7.1,"Plant_149"
"Khouribga","Low",29.75,"Plant_153"
"Gantour","Low",27.9,"Plant_157"
"Meskala","Low",27.9,"Plant_161"
"Boucraa","Low",33.9,"Plant_165"
"Lao Cai","Low",17,"Plant_169"
"Eastern Mines","Medium",29.04,"Plant_173"
"Khneifiss","High",30.75,"Plant_177"
"Chilisai","High",10.5,"Plant_181"
"Karatau-EuroChem","Low",22.4,"Plant_185"
"Karatau-Kazphosphate","Medium",22.5,"Plant_189"
"Karatau-Chulaktau","Low",21.6,"Plant_193"
"Farim-Saliquinhe","High",32.3,"Plant_197"
"Haikou","High",21.01,"Plant_201"
"Salitre","Medium",15,"Plant_205"
