"Name","Confidence","Value","Source"
"Phalaborwa","High",37.21,"Plant_2"
"Siilinjarvi","Medium",38.9,"Plant_6"
"San Juan de la Costa","Medium",28.7,"Plant_10"
"Bayovar","High",29.7,"Plant_14"
"Hahotoe-Kpogame","Medium",35.97,"Plant_18"
"Lac a Paul","High",38.6,"Plant_22"
"Martison","High",37.28,"Plant_26"
"Djebel Onk","Medium",29.45,"Plant_30"
"Al Jalamid","High",32,"Plant_34"
"Umm Wu’al","Medium",32,"Plant_38"
"Eshidiya","Low",32,"Plant_42"
"Central Jordan (Al Hassa and Al Abiad)","Low",32,"Plant_46"
"Ruseifa","Low",32,"Plant_50"
"Abu Tartur","High",28.5,"Plant_54"
"Nile Valley","Low",29.63,"Plant_58"
"Red Sea","Low",29.63,"Plant_62"
"Gafsa","High",28.832,"Plant_66"
"Taiba-Tobene","Medium",33.15,"Plant_70"
"Thies-Lam Lam","Medium",33.15,"Plant_74"
"Matam-Ndendory","Medium",28.7,"Plant_78"
"Gadde Bissik","High",36.4,"Plant_82"
"Phosphate Hill-Duchess","Medium",27.2,"Plant_86"
"Negev","High",32,"Plant_90"
"Jhamarkotra","Medium",25.39,"Plant_94"
"Araxa/Patrocinio","High",34.8,"Plant_98"
"Cajati","High",34.1,"Plant_102"
"Catalao","High",34.7,"Plant_106"
"Tapira","High",35.2,"Plant_110"
"Ouvidor","High",35,"Plant_114"
"Angico dos Dias","Low",36,"Plant_118"
"Florida","High",28,"Plant_122"
"Aurora","High",26.85,"Plant_126"
"White Springs","High",30.24,"Plant_130"
"Smoky Canyon","Medium",30,"Plant_134"
"Vernal","High",30,"Plant_138"
"Conda","High",30.55,"Plant_142"
"Kola","High",39,"Plant_146"
"Kovdor","High",37.5,"Plant_150"
"Khouribga","High",31,"Plant_154"
"Gantour","High",31,"Plant_158"
"Meskala","Low",31,"Plant_162"
"Boucraa","High",36.15,"Plant_166"
"Lao Cai","Low",31,"Plant_170"
"Eastern Mines","High",31,"Plant_174"
"Khneifiss","High",30.75,"Plant_178"
"Chilisai","High",17,"Plant_182"
"Karatau-EuroChem","Low",31.2,"Plant_186"
"Karatau-Kazphosphate","Medium",24.5,"Plant_190"
"Karatau-Chulaktau","Low",30.2,"Plant_194"
"Farim-Saliquinhe","High",33.6,"Plant_198"
"Haikou","High",28.82,"Plant_202"
"Salitre","Medium",35.8,"Plant_206"
