"Name","Confidence","Value","Source"
"Phalaborwa","High",0.7445,"Plant_4"
"Siilinjarvi","Medium",0.842833333333333,"Plant_8"
"San Juan de la Costa","Low",0.661610526315789,"Plant_12"
"Bayovar","Medium",0.606833333333333,"Plant_16"
"Hahotoe-Kpogame","Low",0.620172413793103,"Plant_20"
"Lac a Paul","High",0.899918604651163,"Plant_24"
"Martison","High",0.730674115456238,"Plant_28"
"Djebel Onk","Low",0.299288617886179,"Plant_32"
"Al Jalamid","Medium",0.659809523809524,"Plant_36"
"Umm Wu’al","Medium",0.739764705882353,"Plant_40"
"Eshidiya","Low",0.430282485875706,"Plant_44"
"Central Jordan (Al Hassa and Al Abiad)","Low",0.728332119446468,"Plant_48"
"Ruseifa","Low",0.861697544161999,"Plant_52"
"Abu Tartur","Medium",0.909453530115676,"Plant_56"
"Nile Valley","Low",0.871470588235294,"Plant_60"
"Red Sea","Low",0.788031914893617,"Plant_64"
"Gafsa","Low",0.723319300970874,"Plant_68"
"Taiba-Tobene","Low",0.297075,"Plant_72"
"Thies-Lam Lam","Low",0.594413793103448,"Plant_76"
"Matam-Ndendory","Low",1,"Plant_80"
"Gadde Bissik","High",0.65,"Plant_84"
"Phosphate Hill-Duchess","Low",1,"Plant_88"
"Negev","High",0.563692307692308,"Plant_92"
"Jhamarkotra","Medium",0.934669375,"Plant_96"
"Araxa/Patrocinio","Low",0.599187969924812,"Plant_100"
"Cajati","Medium",0.76725,"Plant_104"
"Catalao","Medium",0.449814814814815,"Plant_108"
"Tapira","Medium",0.546723404255319,"Plant_112"
"Ouvidor","High",0.648846153846154,"Plant_116"
"Angico dos Dias","Low",0.8,"Plant_120"
"Florida","Medium",0.74,"Plant_124"
"Aurora","Low",0.943378378378378,"Plant_128"
"White Springs","Low",0.74,"Plant_132"
"Smoky Canyon","Low",0.816734693877551,"Plant_136"
"Vernal","Low",0.457959183673469,"Plant_140"
"Conda","High",0.8118,"Plant_144"
"Kola","Medium",0.849,"Plant_148"
"Kovdor","Low",0.950704225352113,"Plant_152"
"Khouribga","Low",0.902386554621849,"Plant_156"
"Gantour","Low",0.958888888888889,"Plant_160"
"Meskala","Low",0.958888888888889,"Plant_164"
"Boucraa","Low",0.971464601769912,"Plant_168"
"Lao Cai","Low",0.7,"Plant_172"
"Eastern Mines","Medium",0.597796143250689,"Plant_176"
"Khneifiss","High",1,"Plant_180"
"Chilisai","High",0.841904761904762,"Plant_184"
"Karatau-EuroChem","Low",0.835,"Plant_188"
"Karatau-Kazphosphate","Medium",1,"Plant_192"
"Karatau-Chulaktau","Low",0.678,"Plant_196"
"Farim-Saliquinhe","High",0.818,"Plant_200"
"Haikou","High",0.887507853403141,"Plant_204"
"Salitre","Medium",0.619,"Plant_208"
