"Source","Reference","Year","Note_confidence","Comment"
"Plant_1","Foskor 2018; Foskor 2020",2020,"High: data is relevant for 2013-2022; company's data is used; either raw data or estimate from time series with low variance","Run-of-Mine (ROM) feed grade; 3-year average: 2018-2020"
"Plant_2","Foskor 2018; Foskor 2020",2020,"High: data is relevant for 2013-2022; company's data is used; either raw data or estimate from time series with low variance","3-year average of weighted production per stream: 2017, 2018, 2020; 37.03 average  for ratio of P2O5 content to gross weight during 2010-2022 from USGS (2024)"
"Plant_3","Foskor 2018; Foskor 2020",2020,"High: set to lowest among ore, PR, and mineral recovery","Calculated from mineral recovery; same data source assigned"
"Plant_4","Foskor 2018; Foskor 2020",2020,"High: data is relevant for 2013-2022; company's data is used; either raw data or estimate from time series with low variance","3-year average: 2018-2020"
"Plant_5","O’Brien et al. 2015",2015,"High: data is relevant for 2013-2022; company's data is used; either raw data or estimate from time series with low variance",""
"Plant_6","U.S. Geological Survey 2024",2022,"Medium: PR grade is estimated based on the country-level data","2010-2022 average for ratio of P2O5 content to gross weight"
"Plant_7","Yara 2024",2024,"High: data is relevant for 2013-2022; company's data is used; either raw data or estimate from time series with low variance","Ratio of 1 Mt apatite to 11 Mt ore"
"Plant_8","Yara 2024",2024,"Medium: set to lowest among ore, PR, and recovery","Calculated from mass recovery; same data source assigned"
"Plant_9","Notholt et al. 1989",1981,"Low: data is not relevant being recorded before 2003","North America and Greenland - Introduciton, p. 4-5"
"Plant_10","U.S. Geological Survey 2024",2022,"Medium: PR grade is estimated based on the country-level data","2010-2022 average for ratio of P2O5 content to gross weight"
"Plant_11","U.S. Bureau of Mines 1977",1977,"Low: data is not relevant being recorded before 2003","Ratio of mined to produced concentrate"
"Plant_12","U.S. Bureau of Mines 1977",1977,"Low: set to lowest among ore, PR, and recovery","Calculated from mass recovery; same data source assigned"
"Plant_13","The Mosaic Company 2023",2022,"Medium: ore grade is taken from the company's data on mineral reserves","Table 2.7 Proven mineral reserves - grade; 17.2 in Vale 2008"
"Plant_14","The Mosaic Company 2023",2022,"High: data is relevant for 2013-2022; company's data is used; either raw data or estimate from time series with low variance","2020-2022 average"
"Plant_15","Compañía Minera Miski Mayo S.A.C. 2007",2007,"Medium: data is weekly relevant (2003-2012)","Mined product from Tabla RE-1: Producción: Año 6 - 27 and 3.9Mt PR"
"Plant_16","Compañía Minera Miski Mayo S.A.C. 2007",2007,"Medium: set to lowest among ore, PR, and recovery","Calculated from mass recovery; same data source assigned"
"Plant_17","Clay & Harper 2013",2013,"Medium: ore grade is taken from the company's data on mineral reserves","Section 6.3.1. mineral reserves"
"Plant_18","U.S. Geological Survey 2024",2021,"Medium: PR grade is estimated based on the country-level data","2018-2021 average for ratio of P2O5 content to gross weight"
"Plant_19","van Straaten 2002",2002,"Low: data is not relevant being recorded before 2003",""
"Plant_20","van Straaten 2002",2002,"Low: set to lowest among ore, PR, and recovery","Calculated from mass recovery; same data source assigned"
"Plant_21","Arianne Phosphate Inc. 2013",2013,"High: data is relevant for 2013-2022; company's data is used; either raw data or estimate from time series with low variance","Table 17.1.1: Average head grade (Weighted) (ore)"
"Plant_22","Arianne Phosphate Inc. 2013",2013,"High: data is relevant for 2013-2022; company's data is used; either raw data or estimate from time series with low variance","Table 17.1.1: Concentrate Grade"
"Plant_23","Arianne Phosphate Inc. 2013",2013,"High: data is relevant for 2013-2022; company's data is used; either raw data or estimate from time series with low variance","Table 17.1.1: Overall Concentrate Weight Recovery"
"Plant_24","Arianne Phosphate Inc. 2013",2013,"High: set to lowest among ore, PR, and recovery","Calculated from mass recovery; same data source assigned"
"Plant_25","Fox River Resources Corp. 2022",2022,"High: data is relevant for 2013-2022; company's data is used; either raw data or estimate from time series with low variance","Table 1-4: Average Feed Grades"
"Plant_26","Fox River Resources Corp. 2022",2022,"High: data is relevant for 2013-2022; company's data is used; either raw data or estimate from time series with low variance","Table 1-8: Concentrate Grade (Total)"
"Plant_27","Fox River Resources Corp. 2022",2022,"High: data is relevant for 2013-2022; company's data is used; either raw data or estimate from time series with low variance","Table 1-8: ratio of Phosphate Concentrate Production (Years 3-25) to Average Mill Feed (Years 3-25)"
"Plant_28","Fox River Resources Corp. 2022",2022,"High: set to lowest among ore, PR, and recovery","Calculated from mass recovery; same data source assigned"
"Plant_29","van Kauwenbergh 2006",2006,"Medium: data is weekly relevant (2003-2012)",""
"Plant_30","U.S. Geological Survey 2024",2021,"Medium: PR grade is estimated based on the country-level data","2010-2021 average for ratio of P2O5 content to gross weight"
