Name,Production_Capacity,Source,Comment
Phalaborwa,2.8,U.S. Geological Survey 2024,
Siilinjarvi,1,Yara 2024,
San Juan de la Costa,2.9,U.S. Geological Survey 2024,Maximum production
Bayovar,4,The Mosaic Company 2023,
Hahotoe-Kpogame,2,U.S. Geological Survey 2024,
Lac a Paul,3,Arianne Phosphate Inc. 2013,
Martison,1.41,Fox River Resources Corp. 2022,
Djebel Onk,1.6,U.S. Geological Survey 2024,
Al Jalamid,5.02,Saudi Arabian Mining Company (Ma’aden) 2014,
Umm Wu’al,5.3,Saudi Arabian Mining Company (Ma’aden) 2013,
Eshidiya,6.365,U.S. Geological Survey 2024,2019-2022 average JPMC production share 0.67
Central Jordan (Al Hassa and Al Abiad),2.565,U.S. Geological Survey 2024,2019-2022 average JPMC production share 0.27
Ruseifa,0.57,U.S. Geological Survey 2024,2019-2022 average JPMC production share 0.06
Abu Tartur,2.19,van Kauwenbergh 2006,
Nile Valley,2.5,U.S. Geological Survey 2024,0.5 of total capacity for El Nasr Mining
Red Sea,2.5,U.S. Geological Survey 2024,
Gafsa,8.7,U.S. Geological Survey 2024,
Taiba-Tobene,2,The Republic Of Senegal 2018,
Thies-Lam Lam,1.5,The Republic Of Senegal 2018,
Matam-Ndendory,1.2,The Republic Of Senegal 2018,
Gadde Bissik,1,Avenira Limited 2019,
Phosphate Hill-Duchess,2.2,U.S. Geological Survey 2024,
Negev,3.9,Israel Chemicals Ltd. 2023,
Jhamarkotra,1.5,U.S. Geological Survey 2024,
Araxa/Patrocinio,1.3,The Mosaic Company 2023,
Cajati,0.6,The Mosaic Company 2023,
Catalao,1,The Mosaic Company 2023,
Tapira,2.1,The Mosaic Company 2023,
Ouvidor,1.4,Anglo American 2014,
Angico dos Dias,0.5,U.S. Geological Survey 2024,Assumed same as all Galvani capacity
Florida,14,The Mosaic Company 2023,
Aurora,5.4,Potash Corporation of Saskatchewan Inc. 2017,
White Springs,2,Potash Corporation of Saskatchewan Inc. 2017,
Smoky Canyon,2,Simplot Agribusiness 2014,
Vernal,1.6,"Utah Geological Survey 2015, 2016, 2018a, 2018b, 2019, 2020, 2022a, 2022b",Maximum production
Conda,1.13,Itafos 2019,
Kola,9.5,PhosAgro 2024,Integrated report 2017
Kovdor,2.7,EuroChem 2010,
Khouribga,22.6,U.S. Geological Survey 2024,
Gantour,17,U.S. Geological Survey 2024,
Meskala,17,Assumed same as Gantour,
Boucraa,2.6,U.S. Geological Survey 2024,
Lao Cai,5.5,U.S. Geological Survey 2024,
Eastern Mines,1.8,U.S. Geological Survey 2024,
Khneifiss,0.8,U.S. Geological Survey 2024,
Chilisai,5.2,Sunkar Resources 2015,
Karatau-EuroChem,1.5,EuroChem 2016,
Karatau-Kazphosphate,NA,,
Karatau-Chulaktau,NA,,
Farim-Saliquinhe,1.3,Itafos 2023b,
Haikou,2.2,Israel Chemicals Ltd. 2023,
Salitre,1.5,Belger 2010,
