Name,Country,Subnational_Level,Company,Rock_type,Status,USGS_Company,USGS_Year,Comment
Phalaborwa,South Africa,Limpopo Province,Foskor (Pty) Ltd,igneous,operational,Phosphate Development Corp. Ltd. [Foskor (Pty) Ltd.],2018,
Siilinjarvi,Finland,North Savo Region,Yara Suomi Oy,igneous,operational,Yara International ASA,2019,
San Juan de la Costa,Mexico,Baja California Sur State,Pemex Fertilizantes,sedimentary,operational,"Pemex Fertilizantes [Petróleos Mexicanos, S.A. de C.V. (PEMEX), 100%]",2018,
Bayovar,Peru,Piura Region,The Mosaic Company,sedimentary,operational,"Compañia Minera Miski Mayo S.R.L. (Mosaic Co., 75%, and Mitsui & Co., Ltd., 25%)",2018,
Hahotoe-Kpogame,Togo,Maritime Region,Societe Nouvelle des Phosphates du Togo (SNPT),sedimentary,operational,"Société Nouvelle des Phosphates du Togo (SNPT) (Government, 100%)",2019,
Lac a Paul,Canada,Quebec Province,Arianne Phosphate Inc. ,igneous,in development,NA,NA,
Martison,Canada,Ontario Province,Fox River Resources Corp.,igneous,in development,NA,NA,
Djebel Onk,Algeria,Tébessa Province,Societe des Mines de Phosphates S.p.A. (SOMIPHOS),sedimentary,operational,Société des Mines de Phosphates S.p.A. (SOMIPHOS) (Ferphos Group S.p.A),2019,
Al Jalamid,Saudi Arabia,Northern Borders Province,Saudi Arabian Mining Company (Ma’aden),sedimentary,operational,Maaden,2019,
Umm Wu’al,Saudi Arabia,Northern Borders Province,Saudi Arabian Mining Company (Ma’aden),sedimentary,operational,Maaden,2019,
Eshidiya,Jordan,Ma'an Governorate,Jordan Phosphate Mines Company P.L.C. (JPMC),sedimentary,operational,"Jordan Phosphate Mines Co. p.l.c. (JPMC) (Indian Potash Ltd., 27.380%; Government Shareholdings' Management Co., 25.655%; Social Security Corp., 16.527%; Kisan International Trading FZE, 9.620; Government of the State of Kuwait, 9.333%; Other investors, 11.485%)",2019,
Central Jordan (Al Hassa and Al Abiad),Jordan,Ma'an Governorate,Jordan Phosphate Mines Company P.L.C. (JPMC),sedimentary,operational,"Jordan Phosphate Mines Co. p.l.c. (JPMC) (Indian Potash Ltd., 27.380%; Government Shareholdings' Management Co., 25.655%; Social Security Corp., 16.527%; Kisan International Trading FZE, 9.620; Government of the State of Kuwait, 9.333%; Other investors, 11.485%)",2019,
Ruseifa,Jordan,Zarqa Governorate,Jordan Phosphate Mines Company P.L.C. (JPMC),sedimentary,operational,"Jordan Phosphate Mines Co. p.l.c. (JPMC) (Indian Potash Ltd., 27.380%; Government Shareholdings' Management Co., 25.655%; Social Security Corp., 16.527%; Kisan International Trading FZE, 9.620; Government of the State of Kuwait, 9.333%; Other investors, 11.485%)",2019,
Abu Tartur,Egypt,New Valley Governorate,Misr Phosphate Company,sedimentary,operational,"Phosphate Misr Co. S.A.E. (PMC) [National Investment Bank, 50%; Egyptian Mineral Resources Co. (EMCR), 20%; Ganoub El Wadi Holding Co., 15%; Egyptian General Petroleum Corp., 15%]",2019,
Nile Valley,Egypt,Red Sea Governorate,El Nasr Mining Company,sedimentary,operational,"El Nasr Mining Co. [Holding Company for Metallurgical Industries (HCMI), 100%]",2019,
Red Sea,Egypt,Red Sea Governorate,El Nasr Mining Company,sedimentary,operational,"El Nasr Mining Co. [Holding Company for Metallurgical Industries (HCMI), 100%]",2019,
Gafsa,Tunisia,Gafsa Governorate,Compagnie des Phosphates de Gafsa (CPG),sedimentary,operational,"Compagnie des Phosphates de Gafsa (CPG) (Government, 100%)",2019,
Taiba-Tobene,Senegal,Kaffrine Region,Industries Chimiques du Senegal (ICS),sedimentary,operational,"Industries Chimiques du Sénégal Group (Archean  Group, Government of India, and Indian Farmers from Dakar Fertilizer Cooperative Ltd., 85%, and Government of Senegal, 15%)",2019,
Thies-Lam Lam,Senegal,Thiès region,Sephos Senegal SA ,sedimentary,operational,Société Senegalaise des Phosphates de Thies SA,2019,
Matam-Ndendory,Senegal,Matam Region,Societe Miniere de la Vallee du Fleuve Senegal (SOMIVA),sedimentary,operational,NA,NA,
Gadde Bissik,Senegal,Diourbel Region,Baobab Fertilizer Africa (BFA),sedimentary,operational,NA,NA,
Phosphate Hill-Duchess,Australia,Queensland State,Incitec Pivot Limited,sedimentary,operational,"Phosphate Hill-Duchess open pit phosphate mine (Incitec Pivot Ltd., 100%)",2019,
