"Name","Confidence","Value","Source"
"Phalaborwa","High",42.2198615176379,"Mineral_1"
"Siilinjarvi","Medium",41.34,"Mineral_2"
"San Juan de la Costa","Low",42.2198615176379,"Mineral_3"
"Bayovar","Medium",37.18,"Mineral_4"
"Hahotoe-Kpogame","High",39.1577489154003,"Mineral_5"
"Lac a Paul","High",42.2198615176379,"Mineral_6"
"Martison","High",42.2198615176379,"Mineral_7"
"Djebel Onk","Medium",35.7321264640148,"Mineral_8"
"Al Jalamid","Medium",37.0798057635378,"Mineral_9"
"Umm Wu’al","Medium",37.0798057635378,"Mineral_10"
"Eshidiya","Medium",39.0012137403081,"Mineral_11"
"Central Jordan (Al Hassa and Al Abiad)","Medium",36.6643506386275,"Mineral_12"
"Ruseifa","Medium",36.3927942223895,"Mineral_13"
"Abu Tartur","High",34.9,"Mineral_14"
"Nile Valley","High",34.7,"Mineral_15"
"Red Sea","High",34.6,"Mineral_16"
"Gafsa","Medium",35.6030217007538,"Mineral_17"
"Taiba-Tobene","Medium",40.7989692486783,"Mineral_18"
"Thies-Lam Lam","Medium",34.2846285066479,"Mineral_19"
"Matam-Ndendory","Medium",36.33,"Mineral_20"
"Gadde Bissik","Low",40.7989692486783,"Mineral_21"
"Phosphate Hill-Duchess","High",37.7,"Mineral_22"
"Negev","Medium",37.0798057635378,"Mineral_23"
"Jhamarkotra","High",42.2198615176379,"Mineral_24"
"Araxa/Patrocinio","Medium",39.6,"Mineral_25"
"Cajati","High",42.2198615176379,"Mineral_26"
"Catalao","Medium",40.31,"Mineral_27"
"Tapira","Medium",42.35,"Mineral_28"
"Ouvidor","Medium",40.31,"Mineral_29"
"Angico dos Dias","Medium",40.75,"Mineral_30"
"Florida","High",36.9402208369367,"Mineral_31"
"Aurora","Medium",35.3477493595204,"Mineral_32"
"White Springs","Medium",36.9402208369367,"Mineral_33"
"Smoky Canyon","Low",40.1,"Mineral_34"
"Vernal","Low",40.1,"Mineral_35"
"Conda","Low",40.1,"Mineral_36"
"Kola","High",40.36,"Mineral_37"
"Kovdor","Medium",42.38,"Mineral_38"
"Khouribga","High",37.0798057635378,"Mineral_39"
"Gantour","Medium",36.9402208369367,"Mineral_40"
"Meskala","Medium",36.9402208369367,"Mineral_41"
"Boucraa","Medium",39.0012137403081,"Mineral_42"
"Lao Cai","Medium",42.2198615176379,"Mineral_43"
"Eastern Mines","Low",36.3927942223895,"Mineral_44"
"Khneifiss","Low",36.3927942223895,"Mineral_45"
"Chilisai","Medium",38.5,"Mineral_46"
"Karatau-EuroChem","Medium",38.5,"Mineral_47"
"Karatau-Kazphosphate","Medium",38.5,"Mineral_48"
"Karatau-Chulaktau","Medium",38.5,"Mineral_49"
"Farim-Saliquinhe","High",37.21,"Mineral_50"
"Haikou","Low",39.9606712454398,"Mineral_51"
"Salitre","Low",40.91,"Mineral_52"
